Date,Open,High,Low,Close,Adj Close
29-12-2023,9546.049805,9587.25,9521.299805,9577.950195,9577.950195
28-12-2023,9469.5,9556.950195,9464.599609,9541.650391,9541.650391
27-12-2023,9385.799805,9459.299805,9376.75,9450.299805,9450.299805
26-12-2023,9313.150391,9371.950195,9299,9365.950195,9365.950195
22-12-2023,9228.349609,9287.549805,9185.700195,9279,9279
21-12-2023,9110.299805,9212.049805,9064.5,9195.450195,9195.450195
20-12-2023,9367.900391,9373.799805,9140.75,9160.450195,9160.450195
19-12-2023,9282,9313.549805,9247.5,9298.150391,9298.150391
18-12-2023,9259.349609,9284.400391,9228.200195,9259,9259
15-12-2023,9308.099609,9308.150391,9206.5,9257.049805,9257.049805
14-12-2023,9277.25,9286.599609,9226.700195,9270.950195,9270.950195
13-12-2023,9168.549805,9229.75,9128.700195,9217.400391,9217.400391
12-12-2023,9217.950195,9228.799805,9121.450195,9148.25,9148.25
11-12-2023,9182.700195,9201.150391,9131.150391,9196.599609,9196.599609
08-12-2023,9243.150391,9258.849609,9137.150391,9167.099609,9167.099609
07-12-2023,9245.950195,9254.200195,9197.400391,9220.150391,9220.150391
06-12-2023,9215.849609,9268.25,9203.75,9238.400391,9238.400391
05-12-2023,9183.400391,9213.400391,9158.650391,9198.700195,9198.700195
04-12-2023,9167.650391,9168.5,9099.5,9152.25,9152.25
01-12-2023,9013.799805,9061.700195,9005.150391,9044.450195,9044.450195
30-11-2023,8900.049805,8998.349609,8893,8987.099609,8987.099609
29-11-2023,8883.349609,8908.099609,8874.200195,8899.299805,8899.299805
28-11-2023,8806.5,8850.450195,8792.799805,8839.849609,8839.849609
24-11-2023,8817.25,8826.450195,8781.650391,8788.599609,8788.599609
23-11-2023,8803.450195,8832.299805,8796.549805,8815,8815
22-11-2023,8780.900391,8795.950195,8742.650391,8789.25,8789.25
21-11-2023,8772.150391,8788.049805,8750.200195,8768.25,8768.25
20-11-2023,8770.950195,8772.349609,8728.299805,8752,8752
17-11-2023,8699.049805,8788.5,8697.450195,8759.349609,8759.349609
16-11-2023,8666.450195,8732.400391,8639.75,8699.549805,8699.549805
15-11-2023,8647.650391,8670.650391,8599.849609,8664.150391,8664.150391
13-11-2023,8589.650391,8591,8559.349609,8582.450195,8582.450195
10-11-2023,8555.700195,8575.25,8511.200195,8565.450195,8565.450195
09-11-2023,8588.049805,8593.049805,8561.400391,8570.25,8570.25
08-11-2023,8551.049805,8577.5,8527.549805,8573.400391,8573.400391
07-11-2023,8499.450195,8524.599609,8473.799805,8514.950195,8514.950195
06-11-2023,8480.900391,8504.950195,8459.950195,8499.849609,8499.849609
03-11-2023,8404.25,8451.549805,8396.700195,8443.049805,8443.049805
02-11-2023,8354.950195,8382.049805,8325.400391,8371.799805,8371.799805
01-11-2023,8335.700195,8353.549805,8289.799805,8298,8298
31-10-2023,8346.599609,8359.950195,8313.650391,8331.799805,8331.799805
30-10-2023,8349.299805,8367.099609,8260.099609,8335.599609,8335.599609
27-10-2023,8272.900391,8373.900391,8272.900391,8342.950195,8342.950195
26-10-2023,8343.049805,8353.099609,8246.200195,8260,8260
25-10-2023,8424.150391,8450.650391,8344.049805,8383.299805,8383.299805
23-10-2023,8505.700195,8533.549805,8421.900391,8433.5,8433.5
20-10-2023,8555.150391,8570.950195,8512.099609,8524.700195,8524.700195
19-10-2023,8541.049805,8608.150391,8534,8594.400391,8594.400391
18-10-2023,8624.099609,8626.900391,8569.75,8577.349609,8577.349609
17-10-2023,8611.700195,8639.349609,8599,8616.049805,8616.049805
16-10-2023,8590.099609,8607.400391,8577.099609,8587.5,8587.5
13-10-2023,8558.049805,8614.849609,8546.799805,8602.450195,8602.450195
12-10-2023,8594.849609,8601.950195,8559,8581.450195,8581.450195
11-10-2023,8526.049805,8580.650391,8520.299805,8571,8571
10-10-2023,8455.650391,8504.700195,8451.950195,8496.299805,8496.299805
09-10-2023,8424.099609,8462.099609,8399.25,8435,8435
06-10-2023,8474.950195,8493.049805,8456,8485.599609,8485.599609
05-10-2023,8441,8453.150391,8413.950195,8448.200195,8448.200195
04-10-2023,8418.400391,8422.400391,8369.200195,8405.900391,8405.900391
03-10-2023,8475.400391,8475.799805,8415.599609,8432.400391,8432.400391
29-09-2023,8459.799805,8486.950195,8417.650391,8459.900391,8459.900391
28-09-2023,8568.700195,8571.75,8412.25,8429.150391,8429.150391
27-09-2023,8531.299805,8566.150391,8491.599609,8555.650391,8555.650391
26-09-2023,8527.349609,8538.75,8513.599609,8529.5,8529.5
25-09-2023,8512.200195,8543,8486.049805,8518.799805,8518.799805
22-09-2023,8502.950195,8519.75,8471,8503.099609,8503.099609
21-09-2023,8537.700195,8549.400391,8465.900391,8504.349609,8504.349609
20-09-2023,8559.599609,8586.200195,8534.099609,8544.200195,8544.200195
18-09-2023,8574.349609,8627.400391,8548.450195,8604.650391,8604.650391
15-09-2023,8531.450195,8580.849609,8506.5,8566.849609,8566.849609
14-09-2023,8544.75,8558.5,8493.150391,8529.400391,8529.400391
13-09-2023,8476.299805,8521.900391,8452.450195,8517.549805,8517.549805
12-09-2023,8577.75,8579.349609,8453.700195,8480.900391,8480.900391
11-09-2023,8497.75,8555.299805,8487.599609,8550.25,8550.25
08-09-2023,8476.849609,8493,8447.599609,8472.650391,8472.650391
07-09-2023,8441.700195,8452.799805,8419.650391,8447.599609,8447.599609
06-09-2023,8393.650391,8457,8374.700195,8448.299805,8448.299805
