Date,Open,High,Low,Close,Volume
04-06-2023,..18.54,..18.83,..17.65,..18.54,926
04-05-2023,..18.52,..18.89,..18.35,..18.52,"4,120"
04-04-2023,..18.53,..18.89,..18.39,..18.53,"3,655"
04-03-2023,..18.13,..18.87,..18.05,..18.13,"3,076"
03/30/2023,..17.84,..18.49,..17.60,..17.84,"3,441"
03/29/2023,..17.29,..17.59,..17.20,..17.29,"3,496"
03/28/2023,..17.34,..17.30,..16.71,..17.34,"1,190"
03/27/2023,..17.38,..17.30,..17.00,..17.38,214
03/23/2023,..16.59,..17.29,..17.00,..16.59,662
03/22/2023,..16.67,..17.29,..16.51,..16.67,"1,108"
03/21/2023,..16.23,..17.29,..16.50,..16.23,"1,404"
03/20/2023,..15.97,..17.25,..16.40,..15.97,"1,503"
03/16/2023,..16.04,..17.35,..16.00,..16.04,"6,000"
03/15/2023,..16.71,..18.00,..17.00,..16.71,"5,279"
03/14/2023,..16.79,..18.35,..17.00,..16.79,"2,812"
03/13/2023,..17.33,..18.39,..16.60,..17.33,"2,154"
03-09-2023,..17.75,..18.78,..18.29,..17.75,"1,019"
03-08-2023,..17.87,..18.90,..18.15,..17.87,894
03-07-2023,..18.28,..19.40,..18.39,..18.28,"2,776"
03-06-2023,..18.30,..19.47,..18.40,..18.30,"2,283"
03-02-2023,..18.62,..19.18,..18.55,..18.62,"1,274"
03-01-2023,..18.49,..19.19,..18.51,..18.49,825
02/28/2023,..18.60,..19.34,..18.15,..18.60,"1,469"
02/27/2023,..18.72,..19.38,..18.50,..18.72,"1,495"
02/23/2023,..18.26,..19.19,..18.04,..18.26,"1,824"
02/22/2023,..18.54,..19.48,..18.03,..18.54,"1,019"
02/21/2023,..18.30,..19.49,..18.26,..18.30,"1,251"
02/20/2023,..18.85,..19.79,..18.03,..18.85,"8,990"
02/16/2023,..19.06,..19.89,..18.70,..19.06,"4,628"
02/15/2023,..18.97,..18.95,..18.51,..18.97,"2,471"
02/14/2023,..18.73,..18.90,..18.07,..18.73,"7,036"
02/13/2023,..18.81,..18.90,..18.20,..18.81,457
02-09-2023,..18.45,..18.90,..18.15,..18.45,"10,975"
02-08-2023,..18.39,..18.48,..18.01,..18.39,"2,585"
02-07-2023,..18.06,..18.50,..17.90,..18.06,"1,162"
02-06-2023,..17.71,..18.49,..17.90,..17.71,"2,437"
02-02-2023,..17.86,..18.59,..17.75,..17.86,882
02-01-2023,..17.93,..18.88,..17.71,..17.93,"6,916"
01/31/2023,..18.55,..18.93,..18.00,..18.55,"3,154"
01/30/2023,..18.95,..18.98,..18.21,..18.95,"3,484"
01/25/2023,..17.65,..17.99,..17.55,..17.65,"1,327"
01/24/2023,..17.65,..17.99,..17.40,..17.65,"1,524"
01/23/2023,..17.58,..18.90,..17.10,..17.31,"28,372"
01/19/2023,..17.45,..17.88,..17.01,..17.45,"3,677"
01/18/2023,..17.44,..17.88,..17.15,..17.44,589
01/17/2023,..17.29,..17.89,..17.02,..17.29,692
01/16/2023,..16.99,..17.99,..16.70,..16.99,"6,699"
01-12-2023,..17.02,..17.33,..16.01,..17.02,998
01-11-2023,..17.88,..17.39,..15.01,..16.35,"21,614"
01-10-2023,..17.58,..17.51,..16.66,..17.58,"2,604"
01-09-2023,..17.49,..17.99,..16.66,..17.38,"22,775"
01-05-2023,..17.03,..17.00,..16.45,..17.03,"3,108"
01-04-2023,..16.46,..16.68,..16.00,..16.46,"9,599"
01-03-2023,..16.32,..16.69,..16.30,..16.32,"1,032"
01-02-2023,..15.95,..16.49,..15.81,..15.95,"3,998"
